연번,종류,시도,시군구,읍면동(행정동),관리번호,설치장소명,지번주소,경도,위도,설치일시,원단명,전체높이(M),펼침지름(M),제품제작업체,설치업체,영조물보험 가입 유무,관리기관명,관리기관전화번호
104,그늘막(고정형),경기도,구리시,인창동,인창동 2018-008,인창삼거리 교통섬,경기도 구리시 인창동 552-7 ,127.1332528,37.6044822,2018-08-01,아크릴원단(방수),3.6,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
105,그늘막(고정형),경기도,구리시,인창동,인창동 2018-010,돌다리사거리(파리바게뜨 앞),경기도 구리시 인창동 264-4 ,127.1410123,37.6010742,2018-08-20,아크릴원단(방수),3.6,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
106,그늘막(고정형),경기도,구리시,인창동,인창동 2018-016,교보빌딩 횡단보도 앞,경기도 구리시 인창동 293 ,127.1385909,37.6006401,2018-08-20,아크릴원단(방수),3.6,4,㈜토탈준아,㈜토탈준아,Y,구리시청,031-550-2162
107,그늘막(고정형),경기도,구리시,인창동,인창동 2019-003,인창동 행복센터 횡단보도,경기도 구리시 인창동 544-6 ,127.133704,37.6050786,2019-11-21,아크릴원단(방수),3.6,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
108,그늘막(고정형),경기도,구리시,인창동,인창동 2021-005,구리 유탑 유플레스 앞 사거리 횡단보도,경기도 구리시 인창동 609-3 ,127.13578,37.60069,2021-05-28,아크릴원단(방수),3.6,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
109,그늘막(고정형),경기도,구리시,인창동,인창동 2023-013,아름마을.LG성원아파트뒤 정류장 옆,경기도 구리시 인창동 640-96 ,127.13112,37.607796,2023-06-21,메시원단,3.5,3,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
110,그늘막(고정형),경기도,구리시,인창동,인창동 2023-014,MTA태권도 앞 횡단보도,경기도 구리시 인창동 554-11 ,127.132981,37.604187,2023-06-21,메시원단,3.5,4,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
111,그늘막(고정형),경기도,구리시,인창동,인창동 2023-015,인창초등학교 앞 쌈지공원(좌),경기도 구리시 인창동 555-6 ,127.132561,37.603809,2023-06-21,메시원단,3.5,3,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
112,그늘막(고정형),경기도,구리시,인창동,인창동 2023-016,인창초등학교 앞 쌈지공원(우),경기도 구리시 인창동 555-6 ,127.132561,37.603809,2023-06-21,메시원단,3.5,3,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
113,그늘막(고정형),경기도,구리시,교문1동,교문1동 2017-011,교문사거리(더샵아파트 방향) 교통섬,경기도 구리시 교문동 258-6 ,127.1304664,37.6009873,2017-08-22,아크릴원단(방수),3.6,4,보라매컨설팅,보라매컨설팅,Y,구리시청,031-550-2162
114,그늘막(고정형),경기도,구리시,교문1동,교문1동 2017-012,교문사거리(모델하우스 방향) 교통섬,경기도 구리시 교문동 274-4 ,127.1304659,37.6006697,2017-08-22,아크릴원단(방수),3.6,4,보라매컨설팅,보라매컨설팅,Y,구리시청,031-550-2162
115,그늘막(고정형),경기도,구리시,교문1동,교문1동 2017-013,구리시청 정문,경기도 구리시 교문동 127-8 ,127.1309676,37.5945604,2017-08-22,아크릴원단(방수),3.6,4,보라매컨설팅,보라매컨설팅,Y,구리시청,031-550-2162
116,그늘막(고정형),경기도,구리시,교문1동,교문1동 2018-005,양평해장국 입구,경기도 구리시 아천동 145-5 ,127.1221121,37.5733605,2018-03-24,아크릴원단(방수),3.3,3,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
117,그늘막(고정형),경기도,구리시,교문1동,교문1동 2018-006,한다리마을 입구,경기도 구리시 교문동 639-5 ,127.128799,37.5813092,2018-03-24,아크릴원단(방수),3.3,3,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
118,그늘막(고정형),경기도,구리시,교문1동,교문1동 2018-019,교문사거리(상가 앞),경기도 구리시 교문동 276-1 ,127.1308649,37.6005859,2018-11-28,아크릴원단(방수),3.6,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
119,그늘막(스마트형),경기도,구리시,교문1동,교문1동 2022-020,정각사입구 교차로,경기도 구리시 교문동 107-3 ,127.1311899,37.5919287,2022-06-15,스마트,3,3.2,(주)유퍼니,(주)유퍼니,Y,구리시청,031-550-2162
120,그늘막(스마트형),경기도,구리시,교문1동,교문1동 2022-021,정각사입구 교차로(동길전 앞),경기도 구리시 교문동 산 98-15 ,127.131192,37.5916897,2022-06-15,스마트,3,5.4,(주)유퍼니,(주)유퍼니,Y,구리시청,031-550-2162
121,그늘막(고정형),경기도,구리시,교문1동,교문1동 2023-017,삼육고등학교 앞 삼거리(북측),경기도 구리시 교문동 산 52-1 ,127.130406,37.598597,2023-06-21,메시원단,3.5,3,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
122,그늘막(고정형),경기도,구리시,교문1동,교문1동 2023-018,삼육고등학교 앞 삼거리(동측),경기도 구리시 교문동 175-2 ,127.130775,37.598374,2023-06-21,메시원단,3.5,3,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
123,그늘막(고정형),경기도,구리시,교문1동,교문1동 2023-019,GS칼텍스 주유소 옆 교통섬,경기도 구리시 교문동 328-5 ,127.117835,37.60053,2023-06-21,메시원단,3.5,3,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
124,그늘막(고정형),경기도,구리시,교문1동,교문1동 2023-020,세무서입구 삼거리(동측),경기도 구리시 교문동 772 ,127.131056,37.597051,2023-06-21,메시원단,3.5,4,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
125,그늘막(고정형),경기도,구리시,교문1동,교문1동 2023-021,장안차바닥 옆 횡단보도,경기도 구리시 교문동 328-5 ,127.117894,37.600837,2023-07-27,메시원단,3.5,3,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
126,그늘막(고정형),경기도,구리시,교문2동,교문2동2023-032,장자초등학교 옆길,경기도 구리시 교문동 825-3 ,127.1381181,37.6122374,2023-06-21,메시원단,3.5,5,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
127,그늘막(고정형),경기도,구리시,교문2동,교문2동2024-030,교문중학교 후문 앞,경기도 구리시 교문동 812 ,127.1345481,37.5888563,2024-06-11,메시원단,3.4,2,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
128,그늘막(고정형),경기도,구리시,교문2동,교문2동 2017-001,경찰서 앞(장자대로 광개토대왕광장 부근),경기도 구리시 교문동 469-26 ,127.1305305,37.5874138,2017-08-22,스틸,3.5,4,(주)시온조경개발,(주)시온조경개발,Y,구리시청,031-550-2162
129,그늘막(고정형),경기도,구리시,교문2동,교문2동 2017-014,도림삼거리(파파존스 건물) 교통섬,경기도 구리시 교문동 463-1 ,127.1304262,37.5876864,2017-08-22,아크릴원단(방수),3.6,4,보라매컨설팅,보라매컨설팅,Y,구리시청,031-550-2162
130,그늘막(고정형),경기도,구리시,교문2동,교문2동 2017-015,장자1사거리(교문2동 주민센터 앞),경기도 구리시 교문동 814 ,127.1344566,37.587522,2017-08-22,아크릴원단(방수),3.6,5,보라매컨설팅,보라매컨설팅,Y,구리시청,031-550-2162
131,그늘막(고정형),경기도,구리시,교문2동,교문2동 2017-016,장자1사거리(장자초 앞),경기도 구리시 교문동 814 ,127.1348105,37.5875283,2017-08-22,아크릴원단(방수),3.6,5,보라매컨설팅,보라매컨설팅,Y,구리시청,031-550-2162
132,그늘막(고정형),경기도,구리시,교문2동,교문2동 2019-004,정각사입구 교차로(건강하우스 횡단보도),경기도 구리시 교문동 105-3 ,127.1315574,37.5919243,2019-08-23,아크릴원단(방수),3.6,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
133,그늘막(고정형),경기도,구리시,교문2동,교문2동 2019-005,정각사입구 교차로(함흥냉면 횡단보도),경기도 구리시 교문동 산 99-2 ,127.1315457,37.5916721,2019-08-23,아크릴원단(방수),3.6,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
134,그늘막(고정형),경기도,구리시,교문2동,교문2동 2019-010,도림삼거리(구리경찰서) 교통섬,경기도 구리시 교문동 469-4 ,127.1304089,37.5874972,2019-11-21,아크릴원단(방수),3.6,4,㈜토탈준아,㈜토탈준아,Y,구리시청,031-550-2162
135,그늘막(고정형),경기도,구리시,교문2동,교문2동 2019-011,장자1사거리(교문중학교 맞은편),경기도 구리시 교문동 814 ,127.1344684,37.58779,2019-11-21,아크릴원단(방수),3.6,4,㈜토탈준아,㈜토탈준아,Y,구리시청,031-550-2162
136,그늘막(고정형),경기도,구리시,교문2동,교문2동 2019-012,장자1사거리(장자초등학교 맞은편),경기도 구리시 교문동 814 ,127.1348364,37.5877941,2019-11-21,아크릴원단(방수),3.6,4,㈜토탈준아,㈜토탈준아,Y,구리시청,031-550-2162
137,그늘막(고정형),경기도,구리시,교문2동,교문2동 2020-006,한가람아파트 상가 앞 횡단보도(파리바게뜨 앞),경기도 구리시 교문동 809 ,127.1347591,37.5919793,2020-05-31,메시원단,3.6,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
138,그늘막(고정형),경기도,구리시,교문2동,교문2동 2020-007,두산아파트 상가 앞 횡단보도(부동산테크 앞),경기도 구리시 교문동 766 ,127.1346971,37.5921686,2020-05-31,메시원단,3.6,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
139,그늘막(고정형),경기도,구리시,교문2동,교문2동 2021-006,장자초등학교 정문 횡단보도,경기도 구리시 교문동 824 ,127.1347463,37.5867316,2021-05-28,아크릴원단(방수),3.6,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
140,그늘막(고정형),경기도,구리시,교문2동,교문2동 2022-038,장자초등학교 맞은편 횡단보도,경기도 구리시 교문동 823-1 ,127.1346,37.5868,2022-12-09,메시원단,4,2,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
141,그늘막(고정형),경기도,구리시,교문2동,교문2동 2023-022,남양주축산농협 교문지점 앞,경기도 구리시 교문동 788 ,127.134298,37.59213,2023-06-21,메시원단,3.5,3,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
142,그늘막(고정형),경기도,구리시,교문2동,교문2동 2023-023,장자초등학교 정문(우),경기도 구리시 교문동 823-1 ,127.134718,37.586853,2023-06-21,메시원단,3.5,4,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
143,그늘막(고정형),경기도,구리시,교문2동,교문2동 2023-028,장자초등학교 후문 맞은편,경기도 구리시 교문동 823-1 ,127.134544,37.586349,2023-07-27,메시원단,3.5,3,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
144,그늘막(고정형),경기도,구리시,교문2동,교문2동 2023-029,장자초등학교 후문 앞,경기도 구리시 교문동 823-1 ,127.134724,37.586331,2023-07-27,메시원단,3.5,4,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
145,그늘막(고정형),경기도,구리시,수택1동,수택1동 2017-017,중앙예식장 사거리(LG 유플러스 앞),경기도 구리시 수택동 370 ,127.1360794,37.6004201,2017-08-22,아크릴원단(방수),3.3,3,보라매컨설팅,보라매컨설팅,Y,구리시청,031-550-2162
146,그늘막(고정형),경기도,구리시,수택1동,수택1동 2017-018,토평주공아파트 앞,경기도 구리시 수택동 879-3 ,127.1510759,37.5944565,2017-08-22,아크릴원단(방수),3.6,4,보라매컨설팅,보라매컨설팅,Y,구리시청,031-550-2162
147,그늘막(고정형),경기도,구리시,수택1동,수택1동 2017-019,검배로 투섬플레이스 앞 교통섬,경기도 구리시 수택동 515-6 ,127.1430093,37.598691,2017-08-22,아크릴원단(방수),3.3,3,보라매컨설팅,보라매컨설팅,Y,구리시청,031-550-2162
148,그늘막(고정형),경기도,구리시,수택1동,수택1동 2018-011,돌다리사거리(돌다리공원 앞),경기도 구리시 수택동 446-1 ,127.1415783,37.6009857,2018-08-01,아크릴원단(방수),3.6,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
149,그늘막(고정형),경기도,구리시,수택1동,수택1동 2018-018,KB손해보험 횡단보도 앞,경기도 구리시 수택동 400-8 ,127.143814,37.6020011,2018-08-20,아크릴원단(방수),3.6,4,㈜토탈준아,㈜토탈준아,Y,구리시청,031-550-2162
150,그늘막(고정형),경기도,구리시,수택1동,수택1동 2019-006,CU 횡단보도,경기도 구리시 수택동 504-2 ,127.1454176,37.5967937,2019-08-23,아크릴원단(방수),3.6,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
151,그늘막(고정형),경기도,구리시,수택1동,수택1동 2020-008,돌다리 사거리(현대자동차 구리지점 앞),경기도 구리시 수택동 528 ,127.1414196,37.6008981,2020-05-31,메시원단,3.6,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
152,그늘막(고정형),경기도,구리시,수택1동,수택1동 2020-009,수택동 사거리(KT 매장 앞),경기도 구리시 수택동 424-28 ,127.1432654,37.5979338,2020-05-31,메시원단,3.6,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
153,그늘막(스마트형),경기도,구리시,수택1동,수택1동 2022-022,LG유플러스 횡단보도,경기도 구리시 수택동 524 ,127.1423378,37.599603,2022-06-15,스마트,3,5.4,(주)유퍼니,(주)유퍼니,Y,구리시청,031-550-2162
154,그늘막(스마트형),경기도,구리시,수택1동,수택1동 2022-023,옥화식당 횡단보도,경기도 구리시 수택동 490-1 ,127.1463178,37.5961626,2022-06-15,스마트,3,5.4,(주)유퍼니,(주)유퍼니,Y,구리시청,031-550-2162
155,그늘막(고정형),경기도,구리시,수택1동,수택1동 2022-039,벌말로 사거리(좌) (토평주공아파트),경기도 구리시 수택동 879-2 ,127.1519,37.5963,2022-12-09,메시원단,4,3,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
156,그늘막(고정형),경기도,구리시,수택1동,수택1동 2022-040,벌말로 사거리(우) (토평주공아파트) ,경기도 구리시 수택동 879-2 ,127.152,37.5966,2022-12-09,메시원단,4,2,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
157,그늘막(고정형),경기도,구리시,수택1동,수택1동 2022-041,삼성서비스센터 상가,경기도 구리시 수택동 360 ,127.1453,37.6026,2022-12-09,메시원단,4,3,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
158,그늘막(고정형),경기도,구리시,수택1동,수택1동 2023-024,검배1삼거리(북서측),경기도 구리시 수택동 881-3 ,127.154486,37.593722,2023-06-21,메시원단,3.5,4,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
159,그늘막(고정형),경기도,구리시,수택2동,수택2동2024-031,휴대폰아울렛 앞,경기도 구리시 수택동 490-1 ,127.1472377,37.5953002,2024-06-11,메시원단,3.4,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
160,그늘막(고정형),경기도,구리시,수택2동,수택2동 2017-020,신성미소지음APT 상가 앞,경기도 구리시 수택동 448-7 ,127.1406615,37.5922022,2017-08-22,아크릴원단(방수),3.6,5,보라매컨설팅,보라매컨설팅,Y,구리시청,031-550-2162
161,그늘막(고정형),경기도,구리시,수택2동,수택2동 2017-021,GS 마트 앞,경기도 구리시 수택동 488-6 ,127.1461492,37.5960134,2017-08-22,아크릴원단(방수),3.6,5,보라매컨설팅,보라매컨설팅,Y,구리시청,031-550-2162
162,그늘막(고정형),경기도,구리시,수택2동,수택2동 2018-012,검배사거리(태영에시앙 앞),경기도 구리시 수택동 273-18 ,127.1506297,37.5942081,2018-08-01,아크릴원단(방수),3.6,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
163,그늘막(고정형),경기도,구리시,수택2동,수택2동 2020-010,세무서 사거리(KT 매장 앞),경기도 구리시 교문동 830 ,127.1368945,37.5972183,2020-05-31,메시원단,3.6,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
164,그늘막(고정형),경기도,구리시,수택3동,수택3동2024-010,장자3삼거리 남동측,경기도 구리시 토평동 955-4 ,127.145505,37.5865077,2024-06-11,메시원단,3.5,3,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
165,그늘막(고정형),경기도,구리시,수택3동,수택3동2024-015,토평초교삼거리 북서측,경기도 구리시 토평동 989-1 ,127.1484715,37.5882675,2024-06-11,메시원단,3.5,3,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
166,그늘막(고정형),경기도,구리시,수택3동,수택3동2024-016,토평초교삼거리 북동측,경기도 구리시 토평동 989-1 ,127.1487531,37.5881825,2024-06-11,메시원단,3.5,4,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
167,그늘막(고정형),경기도,구리시,수택3동,수택3동2024-017,토평초교삼거리 남동측,경기도 구리시 토평동 270-19 ,127.1486861,37.5879594,2024-06-11,메시원단,3.5,4,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
168,그늘막(고정형),경기도,구리시,수택3동,수택3동2024-018,토평초교삼거리 남서측,경기도 구리시 토평동 989-1 ,127.1484125,37.5880784,2024-06-11,메시원단,3.5,3,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
169,그늘막(고정형),경기도,구리시,수택3동,수택3동2024-032,청소년문화의집 앞,경기도 구리시 토평동 994-1 ,127.1497026,37.5907266,2024-06-11,메시원단,3.4,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
170,그늘막(고정형),경기도,구리시,수택3동,수택3동2024-033,검배2삼거리 남동측,경기도 구리시 토평동 1008-3 ,127.1530071,37.5937786,2024-06-11,메시원단,3.4,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
171,그늘막(고정형),경기도,구리시,수택3동,수택3동 2017-022,벌말삼거리(와인 아울렛) 교통섬,경기도 구리시 토평동 623-14 ,127.1478686,37.5865216,2017-08-22,아크릴원단(방수),3.6,4,보라매컨설팅,보라매컨설팅,Y,구리시청,031-550-2162
172,그늘막(고정형),경기도,구리시,수택3동,수택3동 2017-023,벌말삼거리(시설물형 고정그늘막) 교통섬,경기도 구리시 토평동 613-2 ,127.1478032,37.5863482,2017-08-22,아크릴원단(방수),3.6,4,보라매컨설팅,보라매컨설팅,Y,구리시청,031-550-2162
173,그늘막(고정형),경기도,구리시,수택3동,수택3동 2017-024,토평도서관 앞,경기도 구리시 토평동 955-4 ,127.1455592,37.5866844,2017-08-22,아크릴원단(방수),3.6,4,보라매컨설팅,보라매컨설팅,Y,구리시청,031-550-2162
174,그늘막(고정형),경기도,구리시,수택3동,수택3동 2017-025,토평마을e편한APT 앞 횡단보도,경기도 구리시 토평동 955-2 ,127.1428739,37.5871179,2017-08-22,아크릴원단(방수),3.6,5,보라매컨설팅,보라매컨설팅,Y,구리시청,031-550-2162
175,그늘막(고정형),경기도,구리시,수택3동,수택3동 2017-026,장자1삼거리(장자호수공원 입구),경기도 구리시 수택동 856-2 ,127.1406272,37.5874855,2017-08-22,아크릴원단(방수),3.6,5,보라매컨설팅,보라매컨설팅,Y,구리시청,031-550-2162
176,그늘막(고정형),경기도,구리시,수택3동,수택3동 2018-001,벌말삼거리 앞,경기도 구리시 토평동 613-9 ,127.1476869,37.5862538,2018-03-27,스틸,3.5,4,(주)시온조경개발,(주)시온조경개발,Y,구리시청,031-550-2162
177,그늘막(고정형),경기도,구리시,수택3동,수택3동 2019-013,장자1삼거리(구리고등학교) 횡단보도,경기도 구리시 수택동 856-2 ,127.140704,37.5877264,2019-11-21,아크릴원단(방수),3.6,4,㈜토탈준아,㈜토탈준아,Y,구리시청,031-550-2162
178,그늘막(고정형),경기도,구리시,수택3동,수택3동 2019-014,장자2삼거리(E편한세상 맞은편),경기도 구리시 토평동 961-3 ,127.1429708,37.5874399,2019-11-21,아크릴원단(방수),3.6,4,㈜토탈준아,㈜토탈준아,Y,구리시청,031-550-2162
179,그늘막(고정형),경기도,구리시,수택3동,수택3동 2019-015,장자3삼거리(토평도서관 맞은편),경기도 구리시 토평동 960-3 ,127.1455881,37.5869907,2019-11-21,아크릴원단(방수),3.6,4,㈜토탈준아,㈜토탈준아,Y,구리시청,031-550-2162
180,그늘막(고정형),경기도,구리시,수택3동,수택3동 2020-011,수평사거리(토평공원 앞 횡단보도),경기도 구리시 토평동 990-1 ,127.1496117,37.5905243,2020-05-31,메시원단,3.6,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
181,그늘막(고정형),경기도,구리시,수택3동,수택3동 2020-012,장자1 사거리(한일아파트 앞 횡단보도),경기도 구리시 토평동 961-1 ,127.1410946,37.5876742,2020-05-31,메시원단,3.6,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
182,그늘막(고정형),경기도,구리시,수택3동,수택3동 2020-013,장자1 사거리(장자못공원 앞 횡단보고),경기도 구리시 수택동 878-1 ,127.1408903,37.5874401,2020-05-31,메시원단,3.6,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
183,그늘막(고정형),경기도,구리시,수택3동,수택3동 2020-014,장자2 삼거리(삼성아파트 앞 횡단보도),경기도 구리시 토평동 962-1 ,127.1432707,37.587381,2020-05-31,메시원단,3.6,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
184,그늘막(고정형),경기도,구리시,수택3동,수택3동 2020-015,장자2 삼거리(장자못공원 대림e편한세상아파트 앞 횡단보도),경기도 구리시 토평동 961-2 ,127.1432135,37.5870702,2020-05-31,메시원단,3.6,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
185,그늘막(고정형),경기도,구리시,수택3동,수택3동 2022-008,토평동 귀품판갈비 앞,경기도 구리시 토평동 558-10 ,127.1469419,37.5839388,2022-06-15,메시원단,4,3,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
186,그늘막(스마트형),경기도,구리시,수택3동,수택3동 2022-024,남가네설악추어탕,경기도 구리시 토평동 558-10 ,127.1468451,37.5830487,2022-06-15,스마트,3,3.2,(주)유퍼니,(주)유퍼니,Y,구리시청,031-550-2162
187,그늘막(고정형),경기도,구리시,수택3동,수택3동 2023-025,구리수택행복주택아파트(북동측),경기도 구리시 수택동 862 ,127.142273,37.591751,2023-06-21,메시원단,3.5,3,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
188,그늘막(고정형),경기도,구리시,수택3동,수택3동 2023-026,구리수택행복주택아파트 (동측),경기도 구리시 수택동 858 ,127.142332,37.591682,2023-06-21,메시원단,3.5,3,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
189,그늘막(고정형),경기도,구리시,수택3동,수택3동 2023-027,구리365재인약국 옆,경기도 구리시 수택동 858 ,127.142561,37.591679,2023-06-21,메시원단,3.5,4,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
